idx,block,stimuli,reward,response,trialtype
8.0,2.0,red/blue,60.0,red,decision
8.0,2.0,red/green,60.0,red,catch
8.0,2.0,green/yellow,20.0,yellow,decision
8.0,2.0,red/green,60.0,red,catch
8.0,2.0,yellow/blue,80.0,blue,catch
8.0,2.0,green/red,40.0,green,catch
8.0,2.0,green/yellow,20.0,yellow,decision
8.0,2.0,blue/red,80.0,blue,decision
8.0,2.0,yellow/green,20.0,yellow,decision
8.0,2.0,blue/green,40.0,blue,catch
8.0,2.0,red/blue,60.0,red,decision
8.0,2.0,yellow/green,40.0,green,decision
8.0,2.0,green/yellow,20.0,yellow,decision
8.0,2.0,blue/red,60.0,red,decision
8.0,2.0,green/blue,80.0,blue,catch
8.0,2.0,blue/red,60.0,red,decision
8.0,2.0,green/blue,80.0,blue,catch
8.0,2.0,yellow/red,20.0,yellow,catch
8.0,2.0,blue/green,80.0,blue,catch
8.0,2.0,blue/yellow,80.0,blue,catch
8.0,2.0,red/yellow,20.0,yellow,catch
8.0,2.0,yellow/red,60.0,red,catch
8.0,2.0,green/red,60.0,red,catch
8.0,2.0,green/yellow,40.0,green,decision
8.0,2.0,yellow/green,0.0,green,decision
8.0,2.0,red/blue,60.0,red,decision
8.0,2.0,blue/red,60.0,red,decision
8.0,2.0,red/blue,60.0,red,decision
8.0,2.0,yellow/green,40.0,green,decision
8.0,2.0,green/yellow,20.0,yellow,decision
8.0,2.0,blue/red,80.0,blue,decision
8.0,2.0,red/blue,40.0,blue,decision
8.0,2.0,yellow/green,20.0,yellow,decision
8.0,2.0,blue/yellow,80.0,blue,catch
8.0,2.0,red/blue,60.0,red,decision
8.0,2.0,red/yellow,20.0,yellow,catch
8.0,2.0,yellow/blue,80.0,blue,catch
8.0,2.0,blue/red,60.0,red,decision
8.0,3.0,blue/red,60.0,red,decision
8.0,3.0,green/blue,80.0,blue,catch
8.0,3.0,red/blue,60.0,red,decision
8.0,3.0,green/yellow,20.0,yellow,decision
8.0,3.0,yellow/green,20.0,yellow,decision
8.0,3.0,blue/red,60.0,red,decision
8.0,3.0,red/green,60.0,red,catch
8.0,3.0,red/blue,60.0,red,decision
8.0,3.0,green/red,60.0,red,catch
8.0,3.0,red/yellow,60.0,red,catch
8.0,3.0,green/yellow,20.0,yellow,decision
8.0,3.0,yellow/red,60.0,red,catch
8.0,3.0,yellow/green,20.0,yellow,decision
8.0,3.0,green/blue,40.0,blue,catch
8.0,3.0,blue/red,40.0,blue,decision
8.0,3.0,yellow/blue,80.0,blue,catch
8.0,3.0,green/yellow,20.0,yellow,decision
8.0,3.0,blue/yellow,40.0,blue,catch
8.0,3.0,green/red,40.0,green,catch
8.0,3.0,yellow/green,20.0,yellow,decision
8.0,3.0,green/yellow,20.0,yellow,decision
8.0,3.0,blue/red,60.0,red,decision
8.0,3.0,blue/red,40.0,blue,decision
8.0,3.0,yellow/green,0.0,green,decision
8.0,3.0,red/blue,60.0,red,decision
8.0,3.0,yellow/green,20.0,yellow,decision
8.0,3.0,red/yellow,60.0,red,catch
8.0,3.0,green/yellow,20.0,yellow,decision
8.0,3.0,red/blue,60.0,red,decision
8.0,3.0,green/yellow,20.0,yellow,decision
8.0,3.0,yellow/red,60.0,red,catch
8.0,3.0,red/blue,60.0,red,decision
8.0,3.0,blue/green,40.0,blue,catch
8.0,3.0,yellow/blue,40.0,blue,catch
8.0,3.0,blue/green,80.0,blue,catch
8.0,3.0,red/green,60.0,red,catch
8.0,3.0,blue/yellow,40.0,blue,catch
8.0,3.0,red/blue,60.0,red,decision
8.0,3.0,blue/red,60.0,red,decision
8.0,3.0,yellow/green,20.0,yellow,decision
8.0,4.0,green/red,60.0,red,catch
8.0,4.0,yellow/blue,80.0,blue,catch
8.0,4.0,blue/red,60.0,red,decision
8.0,4.0,blue/red,60.0,red,decision
8.0,4.0,red/blue,40.0,blue,decision
8.0,4.0,red/blue,60.0,red,decision
8.0,4.0,blue/yellow,20.0,yellow,catch
8.0,4.0,blue/green,80.0,blue,catch
8.0,4.0,red/blue,60.0,red,decision
8.0,4.0,blue/red,60.0,red,decision
8.0,4.0,red/blue,60.0,red,decision
8.0,4.0,green/yellow,20.0,yellow,decision
8.0,4.0,yellow/green,20.0,yellow,decision
8.0,4.0,yellow/green,40.0,green,decision
8.0,4.0,green/red,60.0,red,catch
8.0,4.0,blue/red,60.0,red,decision
8.0,4.0,green/yellow,20.0,yellow,decision
8.0,4.0,red/blue,60.0,red,decision
8.0,4.0,yellow/red,60.0,red,catch
8.0,4.0,yellow/green,20.0,yellow,decision
8.0,4.0,red/blue,60.0,red,decision
8.0,4.0,green/yellow,20.0,yellow,decision
8.0,4.0,green/yellow,20.0,yellow,decision
8.0,4.0,red/green,60.0,red,catch
8.0,4.0,yellow/green,20.0,yellow,decision
8.0,4.0,yellow/blue,40.0,blue,catch
8.0,4.0,blue/green,80.0,blue,catch
8.0,4.0,blue/red,60.0,red,decision
8.0,4.0,red/yellow,20.0,yellow,catch
8.0,4.0,yellow/green,20.0,yellow,decision
8.0,4.0,green/blue,40.0,blue,catch
8.0,4.0,blue/yellow,40.0,blue,catch
8.0,4.0,green/yellow,20.0,yellow,decision
8.0,4.0,red/yellow,60.0,red,catch
8.0,4.0,green/blue,80.0,blue,catch
8.0,4.0,red/green,60.0,red,catch
8.0,4.0,yellow/red,60.0,red,catch
8.0,4.0,yellow/green,0.0,green,decision
8.0,4.0,green/yellow,20.0,yellow,decision
8.0,4.0,blue/red,60.0,red,decision
8.0,5.0,blue/yellow,40.0,blue,catch
8.0,5.0,green/yellow,20.0,yellow,decision
8.0,5.0,red/green,60.0,red,catch
8.0,5.0,red/blue,60.0,red,decision
8.0,5.0,red/yellow,20.0,yellow,catch
8.0,5.0,yellow/red,20.0,yellow,catch
8.0,5.0,red/blue,60.0,red,decision
8.0,5.0,blue/red,60.0,red,decision
8.0,5.0,yellow/green,20.0,yellow,decision
8.0,5.0,yellow/red,60.0,red,catch
8.0,5.0,blue/yellow,80.0,blue,catch
8.0,5.0,green/red,60.0,red,catch
8.0,5.0,yellow/green,20.0,yellow,decision
8.0,5.0,green/yellow,40.0,green,decision
8.0,5.0,green/yellow,40.0,green,decision
8.0,5.0,yellow/green,0.0,green,decision
8.0,5.0,blue/green,40.0,blue,catch
8.0,5.0,yellow/blue,40.0,blue,catch
8.0,5.0,green/yellow,20.0,yellow,decision
8.0,5.0,red/blue,60.0,red,decision
8.0,5.0,red/blue,60.0,red,decision
8.0,5.0,green/blue,80.0,blue,catch
8.0,5.0,red/green,60.0,red,catch
8.0,5.0,green/yellow,20.0,yellow,decision
8.0,5.0,yellow/green,20.0,yellow,decision
8.0,5.0,yellow/green,20.0,yellow,decision
8.0,5.0,blue/red,60.0,red,decision
8.0,5.0,yellow/green,20.0,yellow,decision
8.0,5.0,green/yellow,20.0,yellow,decision
8.0,5.0,blue/red,60.0,red,decision
8.0,5.0,yellow/blue,80.0,blue,catch
8.0,5.0,blue/green,40.0,blue,catch
8.0,5.0,green/blue,40.0,blue,catch
8.0,5.0,blue/red,60.0,red,decision
8.0,5.0,blue/red,80.0,blue,decision
8.0,5.0,red/blue,80.0,blue,decision
8.0,5.0,green/red,0.0,green,catch
8.0,5.0,red/yellow,60.0,red,catch
8.0,5.0,blue/red,40.0,blue,decision
8.0,5.0,red/blue,60.0,red,decision
9.0,0.0,blue/red,80.0,blue,decision
9.0,0.0,red/blue,40.0,blue,decision
9.0,0.0,red/yellow,60.0,red,catch
9.0,0.0,red/blue,80.0,blue,decision
9.0,0.0,blue/green,40.0,blue,catch
9.0,0.0,green/yellow,20.0,yellow,decision
9.0,0.0,blue/red,60.0,red,decision
9.0,0.0,green/yellow,40.0,green,decision
9.0,0.0,blue/red,60.0,red,decision
9.0,0.0,green/blue,80.0,blue,catch
9.0,0.0,blue/yellow,20.0,yellow,catch
9.0,0.0,blue/red,60.0,red,decision
9.0,0.0,blue/green,0.0,green,catch
9.0,0.0,green/yellow,40.0,green,decision
9.0,0.0,red/yellow,60.0,red,catch
9.0,0.0,green/yellow,20.0,yellow,decision
9.0,0.0,red/blue,60.0,red,decision
9.0,0.0,red/blue,60.0,red,decision
9.0,0.0,green/red,40.0,green,catch
9.0,0.0,green/yellow,40.0,green,decision
9.0,0.0,yellow/blue,80.0,blue,catch
9.0,0.0,yellow/red,20.0,yellow,catch
9.0,0.0,yellow/green,20.0,yellow,decision
9.0,0.0,yellow/green,20.0,yellow,decision
9.0,0.0,green/yellow,0.0,green,decision
9.0,0.0,yellow/green,20.0,yellow,decision
9.0,0.0,blue/yellow,40.0,blue,catch
9.0,0.0,yellow/green,20.0,yellow,decision
9.0,0.0,yellow/green,20.0,yellow,decision
9.0,0.0,red/green,60.0,red,catch
9.0,0.0,green/red,60.0,red,catch
9.0,0.0,yellow/green,0.0,green,decision
9.0,0.0,yellow/red,20.0,yellow,catch
9.0,0.0,green/blue,40.0,green,catch
9.0,0.0,red/blue,40.0,blue,decision
9.0,0.0,yellow/blue,20.0,yellow,catch
9.0,0.0,blue/red,80.0,blue,decision
9.0,0.0,red/blue,60.0,red,decision
9.0,0.0,blue/red,60.0,red,decision
9.0,0.0,red/green,60.0,red,catch
9.0,1.0,red/blue,60.0,red,decision
9.0,1.0,red/blue,60.0,red,decision
9.0,1.0,blue/green,40.0,green,catch
9.0,1.0,yellow/blue,40.0,blue,catch
9.0,1.0,yellow/green,0.0,green,decision
9.0,1.0,green/red,60.0,red,catch
9.0,1.0,green/yellow,20.0,yellow,decision
9.0,1.0,red/blue,60.0,red,decision
9.0,1.0,red/yellow,60.0,red,catch
9.0,1.0,yellow/red,60.0,red,catch
9.0,1.0,green/yellow,20.0,yellow,decision
9.0,1.0,yellow/green,20.0,yellow,decision
9.0,1.0,blue/red,60.0,red,decision
9.0,1.0,yellow/green,20.0,yellow,decision
9.0,1.0,red/green,60.0,red,catch
9.0,1.0,green/red,60.0,red,catch
9.0,1.0,blue/red,60.0,red,decision
9.0,1.0,green/yellow,20.0,yellow,decision
9.0,1.0,yellow/green,20.0,yellow,decision
9.0,1.0,red/blue,60.0,red,decision
9.0,1.0,green/yellow,20.0,yellow,decision
9.0,1.0,blue/red,60.0,red,decision
9.0,1.0,red/blue,60.0,red,decision
9.0,1.0,yellow/green,20.0,yellow,decision
9.0,1.0,green/blue,40.0,blue,catch
9.0,1.0,red/blue,60.0,red,decision
9.0,1.0,green/yellow,20.0,yellow,decision
9.0,1.0,blue/yellow,80.0,blue,catch
9.0,1.0,blue/red,60.0,red,decision
9.0,1.0,yellow/blue,20.0,yellow,catch
9.0,1.0,yellow/green,20.0,yellow,decision
9.0,1.0,yellow/red,60.0,red,catch
9.0,1.0,blue/red,60.0,red,decision
9.0,1.0,green/yellow,20.0,yellow,decision
9.0,1.0,red/green,60.0,red,catch
9.0,1.0,blue/yellow,80.0,blue,catch
9.0,1.0,green/blue,40.0,green,catch
9.0,1.0,red/yellow,20.0,yellow,catch
9.0,1.0,blue/green,80.0,blue,catch
9.0,1.0,blue/red,60.0,red,decision
9.0,2.0,yellow/blue,20.0,yellow,catch
9.0,2.0,yellow/red,60.0,red,catch
9.0,2.0,blue/green,80.0,blue,catch
9.0,2.0,blue/red,60.0,red,decision
9.0,2.0,blue/yellow,20.0,yellow,catch
9.0,2.0,yellow/green,20.0,yellow,decision
9.0,2.0,blue/red,40.0,blue,decision
9.0,2.0,red/blue,60.0,red,decision
9.0,2.0,green/yellow,20.0,yellow,decision
9.0,2.0,yellow/blue,80.0,blue,catch
9.0,2.0,green/yellow,20.0,yellow,decision
9.0,2.0,red/blue,60.0,red,decision
9.0,2.0,red/yellow,60.0,red,catch
9.0,2.0,blue/red,60.0,red,decision
9.0,2.0,blue/red,40.0,blue,decision
9.0,2.0,blue/green,80.0,blue,catch
9.0,2.0,green/yellow,20.0,yellow,decision
9.0,2.0,blue/red,80.0,blue,decision
9.0,2.0,green/blue,80.0,blue,catch
9.0,2.0,yellow/green,20.0,yellow,decision
9.0,2.0,red/blue,60.0,red,decision
9.0,2.0,green/yellow,20.0,yellow,decision
9.0,2.0,yellow/green,20.0,yellow,decision
9.0,2.0,blue/yellow,80.0,blue,catch
9.0,2.0,red/yellow,20.0,yellow,catch
9.0,2.0,green/yellow,20.0,yellow,decision
9.0,2.0,red/green,40.0,green,catch
9.0,2.0,red/blue,40.0,blue,decision
9.0,2.0,blue/red,60.0,red,decision
9.0,2.0,green/red,60.0,red,catch
9.0,2.0,yellow/red,60.0,red,catch
9.0,2.0,red/green,60.0,red,catch
9.0,2.0,red/blue,60.0,red,decision
9.0,2.0,red/blue,60.0,red,decision
9.0,2.0,green/yellow,20.0,yellow,decision
9.0,2.0,yellow/green,20.0,yellow,decision
9.0,2.0,green/red,60.0,red,catch
9.0,2.0,green/blue,80.0,blue,catch
9.0,2.0,yellow/green,40.0,green,decision
9.0,2.0,yellow/green,0.0,green,decision
9.0,3.0,blue/green,40.0,blue,catch
9.0,3.0,yellow/green,20.0,yellow,decision
9.0,3.0,blue/red,60.0,red,decision
9.0,3.0,red/yellow,60.0,red,catch
9.0,3.0,green/yellow,40.0,green,decision
9.0,3.0,blue/red,60.0,red,decision
9.0,3.0,yellow/red,60.0,red,catch
9.0,3.0,green/red,60.0,red,catch
9.0,3.0,blue/yellow,80.0,blue,catch
9.0,3.0,red/blue,60.0,red,decision
9.0,3.0,yellow/green,0.0,green,decision
9.0,3.0,blue/green,40.0,blue,catch
9.0,3.0,red/blue,60.0,red,decision
9.0,3.0,red/green,60.0,red,catch
9.0,3.0,green/blue,40.0,blue,catch
9.0,3.0,red/blue,80.0,blue,decision
9.0,3.0,yellow/blue,40.0,blue,catch
9.0,3.0,green/yellow,20.0,yellow,decision
9.0,3.0,green/yellow,20.0,yellow,decision
9.0,3.0,yellow/green,20.0,yellow,decision
9.0,3.0,red/green,0.0,green,catch
9.0,3.0,blue/red,60.0,red,decision
9.0,3.0,green/blue,0.0,green,catch
9.0,3.0,blue/red,60.0,red,decision
9.0,3.0,yellow/blue,40.0,blue,catch
9.0,3.0,yellow/green,20.0,yellow,decision
9.0,3.0,blue/yellow,20.0,yellow,catch
9.0,3.0,yellow/green,20.0,yellow,decision
9.0,3.0,red/yellow,60.0,red,catch
9.0,3.0,green/yellow,20.0,yellow,decision
9.0,3.0,red/blue,60.0,red,decision
9.0,3.0,green/yellow,20.0,yellow,decision
9.0,3.0,green/yellow,20.0,yellow,decision
9.0,3.0,blue/red,60.0,red,decision
9.0,3.0,green/red,60.0,red,catch
9.0,3.0,yellow/green,20.0,yellow,decision
9.0,3.0,blue/red,60.0,red,decision
9.0,3.0,red/blue,40.0,blue,decision
9.0,3.0,red/blue,60.0,red,decision
9.0,3.0,yellow/red,60.0,red,catch
9.0,4.0,yellow/green,20.0,yellow,decision
9.0,4.0,red/blue,60.0,red,decision
9.0,4.0,blue/red,60.0,red,decision
9.0,4.0,blue/red,40.0,blue,decision
9.0,4.0,blue/yellow,40.0,blue,catch
9.0,4.0,yellow/green,20.0,yellow,decision
9.0,4.0,green/red,60.0,red,catch
9.0,4.0,green/yellow,20.0,yellow,decision
9.0,4.0,blue/red,60.0,red,decision
9.0,4.0,yellow/blue,80.0,blue,catch
9.0,4.0,yellow/green,20.0,yellow,decision
9.0,4.0,blue/red,60.0,red,decision
9.0,4.0,green/blue,80.0,blue,catch
9.0,4.0,red/blue,60.0,red,decision
9.0,4.0,red/blue,60.0,red,decision
9.0,4.0,green/yellow,20.0,yellow,decision
9.0,4.0,yellow/red,60.0,red,catch
9.0,4.0,blue/yellow,40.0,blue,catch
9.0,4.0,yellow/red,60.0,red,catch
9.0,4.0,green/yellow,40.0,green,decision
9.0,4.0,red/blue,80.0,blue,decision
9.0,4.0,green/red,60.0,red,catch
9.0,4.0,yellow/green,20.0,yellow,decision
9.0,4.0,green/yellow,20.0,yellow,decision
9.0,4.0,yellow/green,20.0,yellow,decision
9.0,4.0,red/green,60.0,red,catch
9.0,4.0,red/yellow,60.0,red,catch
9.0,4.0,red/blue,40.0,blue,decision
9.0,4.0,red/green,60.0,red,catch
9.0,4.0,blue/red,60.0,red,decision
9.0,4.0,yellow/green,20.0,yellow,decision
9.0,4.0,blue/green,80.0,blue,catch
9.0,4.0,red/yellow,60.0,red,catch
9.0,4.0,blue/green,40.0,blue,catch
9.0,4.0,green/yellow,20.0,yellow,decision
9.0,4.0,red/blue,60.0,red,decision
9.0,4.0,green/yellow,20.0,yellow,decision
9.0,4.0,yellow/blue,40.0,blue,catch
9.0,4.0,blue/red,60.0,red,decision
9.0,4.0,green/blue,40.0,blue,catch
9.0,5.0,yellow/red,60.0,red,catch
9.0,5.0,blue/red,60.0,red,decision
9.0,5.0,yellow/green,20.0,yellow,decision
9.0,5.0,red/blue,60.0,red,decision
9.0,5.0,green/blue,40.0,blue,catch
9.0,5.0,green/yellow,20.0,yellow,decision
9.0,5.0,yellow/green,20.0,yellow,decision
9.0,5.0,green/yellow,20.0,yellow,decision
9.0,5.0,yellow/blue,40.0,blue,catch
9.0,5.0,blue/red,40.0,blue,decision
9.0,5.0,green/yellow,0.0,green,decision
9.0,5.0,red/blue,60.0,red,decision
9.0,5.0,blue/red,60.0,red,decision
9.0,5.0,blue/red,60.0,red,decision
9.0,5.0,green/red,60.0,red,catch
9.0,5.0,red/blue,60.0,red,decision
9.0,5.0,yellow/red,60.0,red,catch
9.0,5.0,red/blue,40.0,blue,decision
9.0,5.0,green/yellow,20.0,yellow,decision
9.0,5.0,yellow/green,20.0,yellow,decision
9.0,5.0,blue/yellow,80.0,blue,catch
9.0,5.0,red/green,60.0,red,catch
9.0,5.0,red/blue,60.0,red,decision
9.0,5.0,blue/red,60.0,red,decision
9.0,5.0,yellow/blue,20.0,yellow,catch
9.0,5.0,red/yellow,60.0,red,catch
9.0,5.0,yellow/green,20.0,yellow,decision
9.0,5.0,green/yellow,20.0,yellow,decision
9.0,5.0,green/red,60.0,red,catch
9.0,5.0,green/blue,40.0,blue,catch
9.0,5.0,red/blue,60.0,red,decision
9.0,5.0,yellow/green,40.0,green,decision
9.0,5.0,blue/red,80.0,blue,decision
9.0,5.0,yellow/green,20.0,yellow,decision
9.0,5.0,blue/green,40.0,blue,catch
9.0,5.0,blue/green,80.0,blue,catch
9.0,5.0,green/yellow,20.0,yellow,decision
9.0,5.0,red/yellow,60.0,red,catch
9.0,5.0,blue/yellow,80.0,blue,catch
9.0,5.0,red/green,60.0,red,catch
10.0,0.0,yellow/green,0.0,green,decision
10.0,0.0,red/blue,60.0,red,decision
10.0,0.0,green/yellow,0.0,green,decision
10.0,0.0,yellow/red,60.0,red,catch
10.0,0.0,yellow/green,20.0,yellow,decision
10.0,0.0,yellow/green,20.0,yellow,decision
10.0,0.0,yellow/blue,80.0,blue,catch
10.0,0.0,yellow/green,20.0,yellow,decision
10.0,0.0,red/blue,60.0,red,decision
10.0,0.0,yellow/red,60.0,red,catch
10.0,0.0,red/yellow,60.0,red,catch
10.0,0.0,green/blue,40.0,blue,catch
10.0,0.0,blue/red,80.0,blue,decision
10.0,0.0,green/red,60.0,red,catch
10.0,0.0,blue/yellow,80.0,blue,catch
10.0,0.0,red/blue,60.0,red,decision
10.0,0.0,blue/red,60.0,red,decision
10.0,0.0,red/yellow,60.0,red,catch
10.0,0.0,blue/red,60.0,red,decision
10.0,0.0,green/yellow,20.0,yellow,decision
10.0,0.0,green/yellow,20.0,yellow,decision
10.0,0.0,yellow/blue,40.0,blue,catch
10.0,0.0,red/blue,40.0,blue,decision
10.0,0.0,green/red,0.0,green,catch
10.0,0.0,red/green,60.0,red,catch
10.0,0.0,blue/green,80.0,blue,catch
10.0,0.0,green/yellow,40.0,green,decision
10.0,0.0,blue/red,80.0,blue,decision
10.0,0.0,blue/red,40.0,blue,decision
10.0,0.0,red/blue,60.0,red,decision
10.0,0.0,red/blue,60.0,red,decision
10.0,0.0,blue/green,80.0,blue,catch
10.0,0.0,blue/red,60.0,red,decision
10.0,0.0,green/blue,40.0,blue,catch
10.0,0.0,yellow/green,20.0,yellow,decision
10.0,0.0,green/yellow,20.0,yellow,decision
10.0,0.0,red/green,60.0,red,catch
10.0,0.0,green/yellow,40.0,green,decision
10.0,0.0,blue/yellow,40.0,blue,catch
10.0,0.0,yellow/green,20.0,yellow,decision
10.0,1.0,green/red,60.0,red,catch
10.0,1.0,green/yellow,20.0,yellow,decision
10.0,1.0,red/yellow,60.0,red,catch
10.0,1.0,green/yellow,20.0,yellow,decision
10.0,1.0,yellow/green,20.0,yellow,decision
10.0,1.0,yellow/blue,80.0,blue,catch
10.0,1.0,green/blue,80.0,blue,catch
10.0,1.0,blue/red,60.0,red,decision
10.0,1.0,green/yellow,0.0,green,decision
10.0,1.0,blue/red,60.0,red,decision
10.0,1.0,blue/red,60.0,red,decision
10.0,1.0,green/yellow,40.0,green,decision
10.0,1.0,green/red,60.0,red,catch
10.0,1.0,red/blue,60.0,red,decision
10.0,1.0,green/blue,0.0,green,catch
10.0,1.0,yellow/green,20.0,yellow,decision
10.0,1.0,yellow/red,60.0,red,catch
10.0,1.0,yellow/red,20.0,yellow,catch
10.0,1.0,yellow/green,0.0,green,decision
10.0,1.0,blue/red,60.0,red,decision
10.0,1.0,green/yellow,0.0,green,decision
10.0,1.0,blue/red,40.0,blue,decision
10.0,1.0,red/blue,60.0,red,decision
10.0,1.0,yellow/green,20.0,yellow,decision
10.0,1.0,red/green,60.0,red,catch
10.0,1.0,red/yellow,20.0,yellow,catch
10.0,1.0,blue/green,40.0,blue,catch
10.0,1.0,yellow/green,20.0,yellow,decision
10.0,1.0,blue/yellow,40.0,blue,catch
10.0,1.0,blue/red,60.0,red,decision
10.0,1.0,green/yellow,20.0,yellow,decision
10.0,1.0,red/blue,60.0,red,decision
10.0,1.0,red/green,60.0,red,catch
10.0,1.0,yellow/green,20.0,yellow,decision
10.0,1.0,red/blue,60.0,red,decision
10.0,1.0,blue/green,40.0,green,catch
10.0,1.0,blue/yellow,40.0,blue,catch
10.0,1.0,yellow/blue,80.0,blue,catch
10.0,1.0,red/blue,60.0,red,decision
10.0,1.0,red/blue,80.0,blue,decision
10.0,2.0,green/red,40.0,green,catch
10.0,2.0,yellow/green,20.0,yellow,decision
10.0,2.0,blue/red,80.0,blue,decision
10.0,2.0,green/blue,40.0,blue,catch
10.0,2.0,yellow/red,60.0,red,catch
10.0,2.0,red/blue,60.0,red,decision
10.0,2.0,blue/red,60.0,red,decision
10.0,2.0,green/red,0.0,green,catch
10.0,2.0,red/yellow,60.0,red,catch
10.0,2.0,red/green,60.0,red,catch
10.0,2.0,yellow/green,20.0,yellow,decision
10.0,2.0,yellow/blue,40.0,blue,catch
10.0,2.0,green/yellow,40.0,green,decision
10.0,2.0,red/blue,60.0,red,decision
10.0,2.0,red/blue,60.0,red,decision
10.0,2.0,green/yellow,20.0,yellow,decision
10.0,2.0,green/yellow,20.0,yellow,decision
10.0,2.0,blue/yellow,20.0,yellow,catch
10.0,2.0,green/yellow,40.0,green,decision
10.0,2.0,red/yellow,60.0,red,catch
10.0,2.0,blue/yellow,40.0,blue,catch
10.0,2.0,blue/red,80.0,blue,decision
10.0,2.0,blue/green,80.0,blue,catch
10.0,2.0,yellow/green,20.0,yellow,decision
10.0,2.0,blue/red,60.0,red,decision
10.0,2.0,yellow/green,20.0,yellow,decision
10.0,2.0,green/yellow,20.0,yellow,decision
10.0,2.0,red/green,60.0,red,catch
10.0,2.0,blue/red,80.0,blue,decision
10.0,2.0,blue/red,80.0,blue,decision
10.0,2.0,yellow/green,20.0,yellow,decision
10.0,2.0,red/blue,80.0,blue,decision
10.0,2.0,red/blue,40.0,blue,decision
10.0,2.0,blue/green,40.0,blue,catch
10.0,2.0,red/blue,40.0,blue,decision
10.0,2.0,green/blue,80.0,blue,catch
10.0,2.0,green/yellow,20.0,yellow,decision
10.0,2.0,yellow/red,60.0,red,catch
10.0,2.0,yellow/green,20.0,yellow,decision
10.0,2.0,yellow/blue,20.0,yellow,catch
10.0,3.0,yellow/green,20.0,yellow,decision
10.0,3.0,red/blue,60.0,red,decision
10.0,3.0,green/yellow,20.0,yellow,decision
10.0,3.0,yellow/red,20.0,yellow,catch
10.0,3.0,red/blue,80.0,blue,decision
10.0,3.0,red/green,0.0,green,catch
10.0,3.0,yellow/green,20.0,yellow,decision
10.0,3.0,blue/yellow,80.0,blue,catch
10.0,3.0,red/yellow,60.0,red,catch
10.0,3.0,green/blue,80.0,blue,catch
10.0,3.0,blue/yellow,80.0,blue,catch
10.0,3.0,blue/red,60.0,red,decision
10.0,3.0,green/yellow,20.0,yellow,decision
10.0,3.0,green/blue,80.0,blue,catch
10.0,3.0,green/red,40.0,green,catch
10.0,3.0,red/blue,60.0,red,decision
10.0,3.0,green/yellow,20.0,yellow,decision
10.0,3.0,blue/green,80.0,blue,catch
10.0,3.0,yellow/blue,20.0,yellow,catch
10.0,3.0,red/blue,60.0,red,decision
10.0,3.0,yellow/green,0.0,green,decision
10.0,3.0,red/blue,60.0,red,decision
10.0,3.0,blue/red,60.0,red,decision
10.0,3.0,blue/red,60.0,red,decision
10.0,3.0,blue/red,60.0,red,decision
10.0,3.0,yellow/red,60.0,red,catch
10.0,3.0,green/yellow,20.0,yellow,decision
10.0,3.0,red/blue,60.0,red,decision
10.0,3.0,yellow/green,0.0,green,decision
10.0,3.0,blue/red,60.0,red,decision
10.0,3.0,green/yellow,20.0,yellow,decision
10.0,3.0,blue/red,60.0,red,decision
10.0,3.0,red/green,60.0,red,catch
10.0,3.0,green/red,60.0,red,catch
10.0,3.0,red/yellow,60.0,red,catch
10.0,3.0,yellow/blue,80.0,blue,catch
10.0,3.0,yellow/green,20.0,yellow,decision
10.0,3.0,green/yellow,20.0,yellow,decision
10.0,3.0,yellow/green,0.0,green,decision
10.0,3.0,blue/green,40.0,blue,catch
10.0,4.0,blue/red,60.0,red,decision
10.0,4.0,green/red,60.0,red,catch
10.0,4.0,yellow/green,20.0,yellow,decision
10.0,4.0,yellow/green,20.0,yellow,decision
10.0,4.0,red/green,60.0,red,catch
10.0,4.0,green/blue,80.0,blue,catch
10.0,4.0,blue/green,40.0,blue,catch
10.0,4.0,blue/green,40.0,blue,catch
10.0,4.0,green/yellow,20.0,yellow,decision
10.0,4.0,yellow/green,0.0,green,decision
10.0,4.0,red/yellow,60.0,red,catch
10.0,4.0,green/yellow,0.0,green,decision
10.0,4.0,yellow/red,60.0,red,catch
10.0,4.0,yellow/blue,40.0,blue,catch
10.0,4.0,blue/red,60.0,red,decision
10.0,4.0,red/yellow,20.0,yellow,catch
10.0,4.0,blue/yellow,80.0,blue,catch
10.0,4.0,blue/red,60.0,red,decision
10.0,4.0,yellow/red,60.0,red,catch
10.0,4.0,red/blue,60.0,red,decision
10.0,4.0,red/green,60.0,red,catch
10.0,4.0,yellow/green,40.0,green,decision
10.0,4.0,blue/red,60.0,red,decision
10.0,4.0,green/blue,40.0,green,catch
10.0,4.0,green/yellow,20.0,yellow,decision
10.0,4.0,red/blue,60.0,red,decision
10.0,4.0,blue/yellow,20.0,yellow,catch
10.0,4.0,red/blue,60.0,red,decision
10.0,4.0,blue/red,60.0,red,decision
10.0,4.0,yellow/blue,40.0,blue,catch
10.0,4.0,red/blue,60.0,red,decision
10.0,4.0,red/blue,60.0,red,decision
10.0,4.0,green/yellow,20.0,yellow,decision
10.0,4.0,blue/red,60.0,red,decision
10.0,4.0,yellow/green,20.0,yellow,decision
10.0,4.0,red/blue,40.0,blue,decision
10.0,4.0,green/yellow,40.0,green,decision
10.0,4.0,green/yellow,0.0,green,decision
10.0,4.0,yellow/green,0.0,green,decision
10.0,4.0,green/red,60.0,red,catch
10.0,5.0,yellow/blue,40.0,blue,catch
10.0,5.0,blue/red,60.0,red,decision
